epoch,training_rmse,validation_rmse
0,10.47043705,8.84995208
1,9.108510017,8.222902483
2,8.47573185,7.519014829
3,8.052213669,7.22375456
4,7.753182888,6.966969646
5,7.540874958,7.325696397
6,7.380723953,7.167836015
7,7.259175777,7.163823979
8,7.160394669,7.042212041
9,7.072775364,7.13008248
10,6.996874809,7.037362618
11,6.930234432,6.785300484
12,6.870119095,6.520083173
13,6.815312386,6.595404968
14,6.765996933,6.515030003
15,6.721626282,6.554343273
16,6.681520462,6.553055682
17,6.644175053,6.553514359
18,6.60989809,6.518874933
19,6.57759285,6.458941856
20,6.548177242,6.420283848
21,6.520253658,6.439724803
22,6.494004726,6.39910317
23,6.469853878,6.34651437
24,6.446476936,6.342952876
25,6.42450285,6.34075957
26,6.403255463,6.285771847
27,6.383046627,6.293100277
28,6.36379385,6.26732243
29,6.345567226,6.229954613
30,6.328154564,6.229088454
31,6.311374664,6.191448178
32,6.295421124,6.213924809
33,6.28011322,6.17493815
34,6.265455246,6.172863919
35,6.251349926,6.162285515
36,6.237820625,6.147755234
37,6.224868774,6.179078294
38,6.212396145,6.170921553
39,6.200447083,6.160648605
40,6.18879509,6.121451034
41,6.177497387,6.10673613
42,6.166539192,6.095413569
43,6.155879974,6.103273344
44,6.145570755,6.088972616
45,6.135592937,6.076687648
46,6.126029015,6.087005589
47,6.116783142,6.077850258
48,6.107765198,6.057738093
49,6.099106789,6.03893678
