start,end,distance
110+04607,110P04607,0.587
110+04608,110P04608,0.487
110+04609,110P04609,0.977
110+04610,110P04610,0.375
110+04611,110P04611,0.559
110+04612,110P04612,0.688
110P04607,110+04608,0.698
110P04608,110+04609,0.912
110P04609,110+04610,0.488
110P04610,110+04611,0.469
110P04611,110+04612,0.788
110P04612,110+04613,0.47
110-04612,110N04612,0.412
110-04611,110N04611,1.06
110-04610,110N04610,0.311
110-04609,110N04609,0.472
110-04608,110N04608,0.839
110-04607,110N04607,0.735
110N04612,110-04611,0.673
110N04611,110-04610,0.657
110N04610,110-04609,0.312
110N04609,110-04608,0.848
110N04608,110-04607,0.688
110N04607,110-04606,0.56
110N04178,110-04177,1.041
110N04177,110-04176,0.286
110N04176,110-04175,1.194
110N04175,110-04174,0.844
110N04174,110-04173,0.408
110N04173,110-04172,0.548
110-04177,110N04177,0.587
110-04176,110N04176,0.677
110-04175,110N04175,1.04
110-04174,110N04174,0.903
110-04173,110N04173,0.154
110+04173,110P04173,0.618
110+04174,110P04174,0.41
110+04175,110P04175,0.881
110+04176,110P04176,1.141
110+04177,110P04177,0.244
110+04178,110P04178,1.015
110P04173,110+04174,0.32
110P04174,110+04175,0.647
110P04175,110+04176,1.187
110P04176,110+04177,0.555
110P04177,110+04178,0.742
110N10021,110-10020,0.712
110-10020,110-10019,1.224
110-10019,110N10019,0.889
110N10019,110-10018,0.433
110-10018,110-10017,0.973
110-10017,110-10016,0.941
110-10016,110N10016,0.583
110N10016,110-10015,0.378
110-10015,110N10015,0.442
110N10015,110-10014,0.453
110-10014,110N10014,0.388
110N10014,110-10013,0.663
110+10014,110P10014,0.666
110P10014,110+10015,0.432
110+10015,110P10015,0.406
110P10015,110+10016,0.462
110+10016,110P10016,0.411
110P10016,110+10017,0.547
110+10017,110+10018,0.935
110+10018,110+10019,0.972
110+10019,110+10020,1.316
110+10020,110+10021,1.235
110+10021,110P10021,0.719
110P10013,110+10014,0.448
110P05692,110+05693,0.182
110+05693,110+05694,0.525
110+05694,110+05695,0.543
110+05695,110P05695,0.22
110P05695,110+05696,0.334
110+05696,110P05696,0.194
110P05696,110+05697,0.171
110+05697,110P05697,0.19
110P05697,110+05698,0.212
110+05698,110P05698,0.214
110P05698,110+05699,0.399
110+05699,110P05699,0.527
110P05699,110+05700,0.462
110+05700,110+05701,0.66
110+05701,110+05702,0.744
110+05702,110+05703,0.442
110-05702,110-05701,0.441
110-05701,110N05701,0.364
110N05701,110-05700,0.384
110-05700,110-05699,0.698
110-05699,110N05699,0.491
110-05698,110N05698,0.336
110N05698,110-05697,0.189
110-05697,110N05697,0.273
110-05696,110N05696,0.143
110-05695,110N05695,0.36
110-05694,110-05693,0.52
110-05693,110-05692,0.512
110-05692,110N05692,0.192
110N05699,110-05698,0.506
110N05697,110-05696,0.196
110N05696,110-05695,0.225
110N05695,110-05694,0.192
110P04226,110+04227,1.167
110P04227,110+04228,0.242
110P04228,110+04229,0.537
110P04229,110+04230,0.428
110P04230,110+04231,0.602
110+04227,110P04227,1.142
110+04228,110P04228,0.398
110+04229,110P04229,0.535
110+04230,110P04230,0.308
110-04230,110N04230,0.626
110-04229,110N04229,0.404
110-04228,110N04228,0.483
110-04227,110N04227,0.295
110-04226,110N04226,1.172
110N04230,110-04229,0.314
110N04229,110-04228,0.564
110N04228,110-04227,0.358
110N04227,110-04226,1.175
110+04608,110-04174,0.743
110+04608,110+04176,0.884
110-04175,110-04607,1.044
110-04175,110+04609,1.364
110+04175,110-04607,0.683
110+04175,110+04609,1.003
110-04608,110-04174,0.999
110-04608,110+04176,1.14
110+04178,110-10020,0.96
110+10021,110-04177,0.898
110-04174,110+05693,0.594
110+04174,110+05693,0.191
110-05692,110+04175,0.416
110-05692,110-04173,0.086
110+04173,110+04227,1.418
110-04226,110-04172,1.405
110-10014,110-04226,1.141
110-10014,110+04228,0.257
110+04227,110-10013,1.433
110+04227,110+10015,1.154
110-04227,110-10013,0.535
110-04227,110+10015,0.256
110+10014,110-04226,1.372
110+10014,110+04228,0.488
110+04611,110-04227,0.261
110+04611,110+04229,0.397
110-04611,110-04227,0.512
110-04611,110+04229,0.648
110-04228,110+04612,0.615
110-04228,110-04610,0.234
110+04228,110+04612,0.487
110+04228,110-04610,0.107
110+04610,110-10014,0.314
110+04610,110+10016,0.367
110-04610,110-10014,0.257
110-04610,110+10016,0.31
110-10015,110+04611,0.397
110-10015,110-04609,0.246
110+10015,110+04611,0.404
110+10015,110-04609,0.254
110+04609,110-05694,0.621
110+04609,110+05696,0.756
110-04609,110-05694,0.075
110-04609,110+05696,0.211
110+05694,110+04610,0.611
110+05694,110-04608,0.93
110-05695,110+04610,0.3
110-05695,110-04608,0.619
110-10016,110-05696,0.506
110-10016,110+05698,0.554
110+10016,110-05696,0.364
110+10016,110+05698,0.412
110+05697,110-10015,0.327
110+05697,110+10017,0.527
110-05697,110-10015,0.377
110-05697,110+10017,0.578
110+05699,110-04229,0.363
110+05699,110+04231,0.722
110-05699,110-04229,0.339
110-05699,110+04231,0.697
110-04230,110-05698,0.666
110-04230,110+05700,0.611
110+04230,110-05698,0.418
110+04230,110+05700,0.363
