epoch,running_time,training_loss,training_rmse,validation_loss,validation_rmse,validation_mae
0,23.203125,1785.4771739840508,7.419538974761963,205.78406703472137,6.691707134246826,4.147767543792725
1,22.90625,1137.1155629754066,5.921095371246338,203.78863775730133,6.65918493270874,4.050065040588379
2,21.734375,1071.7143806815147,5.748297214508057,180.11084270477295,6.260384559631348,3.836284637451172
3,22.3125,1026.4907786250114,5.625709533691406,170.70439606904984,6.094715118408203,3.728383779525757
4,22.78125,987.5870183110237,5.518074035644531,170.27413481473923,6.087029457092285,3.719437837600708
5,22.75,961.6616278886795,5.445164203643799,167.17012894153595,6.03129243850708,3.7024388313293457
6,22.578125,939.8677858710289,5.383106708526611,161.0522563457489,5.919900894165039,3.6501517295837402
7,23.203125,923.5999252796173,5.336318492889404,158.71066236495972,5.876707553863525,3.6305160522460938
8,22.5,909.4573421478271,5.295304775238037,156.5984708070755,5.837472438812256,3.616363763809204
9,22.359375,897.9096019268036,5.261577129364014,152.84095734357834,5.767013072967529,3.585716962814331
10,22.1875,886.4124557375908,5.227786064147949,151.4884887933731,5.741440296173096,3.577047348022461
11,23.765625,876.4692621827126,5.198380947113037,151.16294956207275,5.7352681159973145,3.5803475379943848
12,22.5,867.5330070257187,5.171811103820801,147.31073546409607,5.661717891693115,3.55027437210083
13,22.40625,860.1768724322319,5.149839401245117,146.75691670179367,5.651065349578857,3.5454893112182617
14,22.78125,852.4245608448982,5.126580238342285,146.49887031316757,5.6460957527160645,3.5435590744018555
15,22.71875,845.139894425869,5.104626178741455,146.37857574224472,5.6437764167785645,3.5428991317749023
16,23.859375,837.387781560421,5.081161975860596,144.48461204767227,5.607145309448242,3.5229616165161133
17,22.390625,830.7607789039612,5.061014652252197,144.5203394293785,5.607839107513428,3.527142286300659
18,23.296875,823.824291229248,5.039841175079346,143.96766167879105,5.597106456756592,3.521697998046875
19,22.640625,819.0366491675377,5.025176048278809,143.6864845752716,5.591638565063477,3.5210258960723877
20,22.09375,813.8707876801491,5.009305477142334,143.8234879374504,5.594303131103516,3.5244946479797363
21,21.515625,807.8563222885132,4.9907612800598145,143.95961326360703,5.596949577331543,3.529808759689331
22,14.40625,802.8769633173943,4.975356578826904,143.96115100383759,5.596979141235352,3.533064842224121
23,12.125,799.3073680996895,4.964283466339111,144.29234021902084,5.6034135818481445,3.5352234840393066
24,12.546875,795.0128242969513,4.950929641723633,144.59758079051971,5.609336853027344,3.5413596630096436
25,12.171875,791.2030560970306,4.939052104949951,144.35550332069397,5.604640007019043,3.5416510105133057
26,13.046875,788.3085891604424,4.930010795593262,145.76291024684906,5.631894588470459,3.554091215133667
27,12.390625,783.7879168391228,4.915853500366211,145.33359122276306,5.623595714569092,3.550960063934326
28,12.625,779.7842648625374,4.90328311920166,145.19587510824203,5.620930194854736,3.5511088371276855
29,12.953125,776.2016365528107,4.892005443572998,144.96266549825668,5.616414546966553,3.5515389442443848
30,12.609375,772.9555931687355,4.881764888763428,145.46626555919647,5.626161098480225,3.5599241256713867
31,14.390625,769.0589833855629,4.869446754455566,145.02673637866974,5.6176557540893555,3.5487964153289795
32,16.140625,766.6266154050827,4.861741542816162,145.47726249694824,5.626373767852783,3.558311700820923
33,12.25,763.5855886340141,4.852087020874023,146.27990591526031,5.641874313354492,3.571981191635132
34,12.6875,760.1568121314049,4.841180324554443,145.65050554275513,5.629722595214844,3.570303440093994
35,12.5625,757.491828083992,4.832686424255371,145.2499202489853,5.621976375579834,3.566246509552002
36,12.359375,755.6444765329361,4.826791286468506,146.47656416893005,5.645665645599365,3.581058979034424
37,13.78125,752.3634327054024,4.816300392150879,144.93076539039612,5.6157965660095215,3.5692696571350098
38,16.1875,750.3137516379356,4.8097357749938965,146.07296526432037,5.637881755828857,3.574350595474243
39,12.546875,736.3420453667641,4.764743328094482,151.2353880405426,5.736642837524414,3.6437058448791504
40,12.390625,733.991547703743,4.7571306228637695,150.78475904464722,5.72808837890625,3.6360838413238525
41,12.484375,731.4766030907631,4.748974323272705,150.0350240468979,5.713830947875977,3.6274049282073975
42,12.8125,728.99362885952,4.740909576416016,150.21556782722473,5.7172675132751465,3.628520965576172
43,12.4375,727.2663242220879,4.735288619995117,149.76346933841705,5.708657741546631,3.6227879524230957
44,12.140625,725.4448626637459,4.729355812072754,149.71787118911743,5.707787990570068,3.620246648788452
45,11.984375,722.6444277763367,4.720218658447266,148.94769382476807,5.693088531494141,3.6131207942962646
46,12.125,720.0243875384331,4.7116522789001465,147.81996738910675,5.6714959144592285,3.5931594371795654
47,12.125,718.3985087275505,4.706328868865967,148.2822698354721,5.680357456207275,3.595428705215454
48,12.140625,715.8875982761383,4.698098659515381,148.37940800189972,5.682218551635742,3.5982980728149414
49,12.046875,713.2950572371483,4.689584732055664,148.3482302427292,5.681621074676514,3.5997767448425293
